Date,Close(CCI30 index)
2020/01/20,3397.56
2020/01/19,3360.47
2020/01/18,3431.55
2020/01/17,3510.36
2020/01/16,3400.34
2020/01/15,3423.63
2020/01/14,3427.91
2020/01/13,2891.08
2020/01/12,2910.09
2020/01/11,2841.66
2020/01/10,2861.84
2020/01/09,2714.97
2020/01/08,2753.32
2020/01/07,2784.3
2020/01/06,2752.24
2020/01/05,2597.54
2020/01/04,2577.96
2020/01/03,2543.03
2020/01/02,2415.57
2020/01/01,2502.88
2019/12/31,2474.27
2019/12/30,2500.74
2019/12/29,2545.11
2019/12/28,2489.02
2019/12/27,2470.4
2019/12/26,2442.79
2019/12/25,2439.84
2019/12/24,2470.3
2019/12/23,2470.28
2019/12/22,2532.85
2019/12/21,2445.56
2019/12/20,2464.03
2019/12/19,2430.8
2019/12/18,2467.26
2019/12/17,2272.22
2019/12/16,2445.56
2019/12/15,2568.22
2019/12/14,2556.72
2019/12/13,2601.47
2019/12/12,2590.4
2019/12/11,2571.3
2019/12/10,2586.68
2019/12/09,2627.4
2019/12/08,2682.84
2019/12/07,2658.68
2019/12/06,2651.39
2019/12/05,2620.77
2019/12/04,2557.94
2019/12/03,2598.65
2019/12/02,2607.62
2019/12/01,2648.5
2019/11/30,2491.09
2019/11/29,2745.14
2019/11/28,2650.36
2019/11/27,2669.12
2019/11/26,2598.35
2019/11/25,2548.6
2019/11/24,2513.83
2019/11/23,2686.91
2019/11/22,2599.44
2019/11/21,2752.21
2019/11/20,2922.59
2019/11/19,2981.54
2019/11/18,3042.96
2019/11/17,3159.82
2019/11/16,3145.5
2019/11/15,3117.54
2019/11/14,3207.84
2019/11/13,3229.9
2019/11/12,3221.03
2019/11/11,3196.56
2019/11/10,3265.92
2019/11/09,3181.09
2019/11/08,3155.99
2019/11/07,3287.66
2019/11/06,3310.62
2019/11/05,3288.88
2019/11/04,3255.05
2019/11/03,3180.05
2019/11/02,3207.37
2019/11/01,3174.05
2019/10/31,3161.94
2019/10/30,3168.46
2019/10/29,3230.89
2019/10/28,3152.66
2019/10/27,3194.03
2019/10/26,3062.32
2019/10/25,3020.48
2019/10/24,2689.72
2019/10/23,2657.48
2019/10/22,2834.7
2019/10/21,2885.37
2019/10/20,2857.29
2019/10/19,2801.05
2019/10/18,2801.79
2019/10/17,2857.95
2019/10/16,2800.85
2019/10/15,2861.69
2019/10/14,2928.47
2019/10/13,2869.24
2019/10/12,2852.03
2019/10/11,2854
2019/10/10,2929.55
2019/10/09,2976.1
2019/10/08,2856.95
2019/10/07,2848.71
2019/10/06,2724.6
2019/10/05,2765.12
2019/10/04,2775.01
2019/10/03,2751.39
2019/10/02,2801.43
2019/10/01,2771.21
2019/09/30,2784.48
2019/09/29,2694.88
2019/09/28,2751.63
2019/09/27,2753.47
2019/09/26,2692.92
2019/09/25,2780.23
2019/09/24,2745.47
2019/09/23,3234.75
2019/09/22,3382.81
2019/09/21,3446.24
2019/09/20,3496.69
2019/09/19,3542.36
2019/09/18,3559.48
2019/09/17,3429.58
2019/09/16,3331.83
2019/09/15,3319.13
2019/09/14,3308.6
2019/09/13,3261.2
2019/09/12,3263.49
2019/09/11,3227.52
2019/09/10,3257.74
2019/09/09,3315.64
2019/09/08,3340.43
2019/09/07,3296.51
2019/09/06,3190.89
2019/09/05,3255.51
2019/09/04,3277.44
2019/09/03,3323.23
2019/09/02,3283.31
2019/09/01,3165.96
2019/08/31,3146.9
2019/08/30,3144.67
2019/08/29,3121.22
2019/08/28,3221.05
2019/08/27,3424.44
2019/08/26,3472.95
2019/08/25,3432.52
2019/08/24,3467.1
2019/08/23,3522.72
2019/08/22,3460.43
2019/08/21,3396.78
2019/08/20,3563.69
2019/08/19,3644.64
2019/08/18,3533.6
2019/08/17,3429.68
2019/08/16,3448.7
2019/08/15,3476.14
2019/08/14,3410.09
2019/08/13,3733.21
2019/08/12,3818.41
2019/08/11,3889.66
2019/08/10,3784.36
2019/08/09,3821.75
2019/08/08,3958.54
2019/08/07,3985.32
2019/08/06,3934.77
2019/08/05,4092.47
2019/08/04,3929.38
2019/08/03,3919.19
2019/08/02,3856.95
2019/08/01,3870
2019/07/31,3844.03
2019/07/30,3715.98
2019/07/29,3680.39
2019/07/28,3702.29
2019/07/27,3693.95
2019/07/26,3871.59
2019/07/25,3835.03
2019/07/24,3835.21
2019/07/23,3794.14
2019/07/22,3942.59
2019/07/21,4048.85
2019/07/20,4092.82
2019/07/19,3933.24
2019/07/18,3963.23
2019/07/17,3641.43
2019/07/16,3479.1
2019/07/15,3990.74
2019/07/14,3859.37
2019/07/13,4355.81
2019/07/12,4523.36
2019/07/11,4347.83
2019/07/10,4714.37
2019/07/09,4978.72
2019/07/08,5004.93
2019/07/07,4876.54
2019/07/06,4742.59
2019/07/05,4706.06
2019/07/04,4722.76
2019/07/03,4946.88
2019/07/02,4696.95
2019/07/01,4716.5
2019/06/30,4692.76
2019/06/29,5108.19
2019/06/28,5063.63
2019/06/27,4715.26
2019/06/26,5374.46
2019/06/25,5270.41
2019/06/24,5122.33
2019/06/23,5074.05
2019/06/22,5102.6
2019/06/21,4833.63
2019/06/20,4630.64
2019/06/19,4629.44
2019/06/18,4564.9
2019/06/17,4687.28
2019/06/16,4574.6
2019/06/15,4519.08
2019/06/14,4448.03
2019/06/13,4370.64
2019/06/12,4377.27
2019/06/11,4229.9
2019/06/10,4260.21
2019/06/09,4057.97
2019/06/08,4237.17
2019/06/07,4295.4
2019/06/06,4190.64
2019/06/05,4174.02
2019/06/04,4121.09
2019/06/03,4369.32
2019/06/02,4640.73
2019/06/01,4534.57
2019/05/31,4575.48
2019/05/30,4366.28
2019/05/29,4583.12
2019/05/28,4485.14
2019/05/27,4480.98
2019/05/26,4306.27
2019/05/25,4045.36
2019/05/24,4027.23
2019/05/23,3956.5
2019/05/22,3889.29
2019/05/21,4084.79
2019/05/20,3999.09
2019/05/19,4132.44
2019/05/18,3722.32
2019/05/17,3780.24
2019/05/16,4047.62
2019/05/15,4161.25
2019/05/14,3778.44
2019/05/13,3527.86
2019/05/12,3287.15
2019/05/11,3416.69
2019/05/10,3047.74
2019/05/09,2967.8
2019/05/08,3014.22
2019/05/07,2974.17
2019/05/06,3000.12
2019/05/05,3000.2
2019/05/04,3028.84
2019/05/03,3077.63
2019/05/02,2971.42
2019/05/01,2945.89
2019/04/30,2941.74
2019/04/29,2815.76
2019/04/28,2880.58
2019/04/27,2897.02
2019/04/26,2887.13
2019/04/25,2842.6
2019/04/24,2998.11
2019/04/23,3122.51
2019/04/22,3131.2
2019/04/21,3107.37
2019/04/20,3182.93
2019/04/19,3187.75
2019/04/18,3186.61
2019/04/17,3125.99
2019/04/16,3131.96
2019/04/15,3047.47
2019/04/14,3125.8
2019/04/13,3057.58
2019/04/12,3062.32
2019/04/11,3049.91
2019/04/10,3293.51
2019/04/09,3235.11
2019/04/08,3315.82
2019/04/07,3334.72
2019/04/06,3242.45
2019/04/05,3247.47
2019/04/04,3097.19
2019/04/03,3125.05
2019/04/02,3087.3
2019/04/01,2666.53
2019/03/31,2620.93
2019/03/30,2623.22
2019/03/29,2624.17
2019/03/28,2585.06
2019/03/27,2596.99
2019/03/26,2483.05
2019/03/25,2475.61
2019/03/24,2527.95
2019/03/23,2540.89
2019/03/22,2504.45
2019/03/21,2483.4
2019/03/20,2521.75
2019/03/19,2502.82
2019/03/18,2474.77
2019/03/17,2473.2
2019/03/16,2498.73
2019/03/15,2429.42
2019/03/14,2385.29
2019/03/13,2358.48
2019/03/12,2364.43
2019/03/11,2322.29
2019/03/10,2356.29
2019/03/09,2357.97
2019/03/08,2297.14
2019/03/07,2330.8
2019/03/06,2317.06
2019/03/05,2309.16
2019/03/04,2169.79
2019/03/03,2244.83
2019/03/02,2264.47
2019/03/01,2270.55
2019/02/28,2252.86
2019/02/27,2249.42
2019/02/26,2266.89
2019/02/25,2286.78
2019/02/24,2218.65
2019/02/23,2472.71
2019/02/22,2359.05
2019/02/21,2315.3
2019/02/20,2381.08
2019/02/19,2316.7
2019/02/18,2286.53
2019/02/17,2118.38
2019/02/16,2073.87
2019/02/15,2069.29
2019/02/14,2047.57
2019/02/13,2073.6
2019/02/12,2089.15
2019/02/11,2070.57
2019/02/10,2109.75
2019/02/09,2077.46
2019/02/08,2073.02
2019/02/07,1881.22
2019/02/06,1877.22
2019/02/05,1915.58
2019/02/04,1923.73
2019/02/03,1916.77
2019/02/02,1960.15
2019/02/01,1931.15
2019/01/31,1916.25
2019/01/30,1963.92
2019/01/29,1912.19
2019/01/28,1926.86
2019/01/27,2044.07
2019/01/26,2077.98
2019/01/25,2080.18
2019/01/24,2081.16
2019/01/23,2075.83
